s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 1.3409540E+002, 9.9569884E+002, 0.0000000E+000,-3.5124849E+002,-3.0325064E+001,-2.3815296E+002,-7.1636375E-002, 0.0000000E+000, 0.0000000E+000, 3.7711482E+002, 3.7590069E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.3504568E+002, 9.9624355E+002, 0.0000000E+000,-3.6201624E+002,-3.1628466E+001,-2.3935069E+002,-7.1831900E-002, 0.0000000E+000, 0.0000000E+000, 3.6325966E+002, 3.6317632E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.3602519E+002, 9.9834831E+002, 0.0000000E+000,-3.5533530E+002,-3.2763485E+001,-2.4037022E+002,-7.1611940E-002, 0.0000000E+000, 0.0000000E+000, 3.6874216E+002, 3.6980769E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.3700470E+002, 1.0048113E+003, 0.0000000E+000,-3.3764382E+002,-3.1771287E+001,-2.4163382E+002,-7.1278495E-002, 0.0000000E+000, 0.0000000E+000, 3.9164270E+002, 3.9369111E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.3807324E+002, 1.0003025E+003, 0.0000000E+000,-3.4165574E+002,-3.0756406E+001,-2.4245504E+002,-7.1086034E-002, 0.0000000E+000, 0.0000000E+000, 3.8710751E+002, 3.8536426E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.3905276E+002, 1.0134816E+003, 0.0000000E+000,-3.6745465E+002,-3.0640700E+001,-2.4454605E+002,-7.1214472E-002, 0.0000000E+000, 0.0000000E+000, 3.7156594E+002, 3.7076903E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.4003227E+002, 1.0037220E+003, 0.0000000E+000,-3.4555736E+002,-3.2258117E+001,-2.4584400E+002,-7.1596438E-002, 0.0000000E+000, 0.0000000E+000, 3.7942162E+002, 3.7999094E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.4101178E+002, 9.8545106E+002, 0.0000000E+000,-3.4624335E+002,-3.3010404E+001,-2.4615268E+002,-7.1165666E-002, 0.0000000E+000, 0.0000000E+000, 3.5999027E+002, 3.5997346E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.4202174E+002, 9.9520299E+002, 0.0000000E+000,-3.3142345E+002,-3.1966974E+001,-2.4677794E+002,-7.1830177E-002, 0.0000000E+000, 0.0000000E+000, 3.8499320E+002, 3.8496280E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.4301135E+002, 1.0041767E+003, 0.0000000E+000,-3.4981505E+002,-3.2314344E+001,-2.4621736E+002,-7.1782149E-002, 0.0000000E+000, 0.0000000E+000, 3.7640602E+002, 3.7575812E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.4409148E+002, 1.0008676E+003, 0.0000000E+000,-3.5527862E+002,-3.2172725E+001,-2.4701533E+002,-7.1924218E-002, 0.0000000E+000, 0.0000000E+000, 3.6800155E+002, 3.6632898E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.4509375E+002, 9.8716770E+002, 0.0000000E+000,-3.5331548E+002,-3.1542469E+001,-2.4783199E+002,-7.2006392E-002, 0.0000000E+000, 0.0000000E+000, 3.5268533E+002, 3.5440574E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.4608350E+002, 9.9975086E+002, 0.0000000E+000,-3.6435986E+002,-3.3607807E+001,-2.4823632E+002,-7.1186715E-002, 0.0000000E+000, 0.0000000E+000, 3.5471649E+002, 3.5347569E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.4706198E+002, 9.9487815E+002, 0.0000000E+000,-3.5011799E+002,-3.6501517E+001,-2.4979883E+002,-7.1587256E-002, 0.0000000E+000, 0.0000000E+000, 3.5681787E+002, 3.5838822E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.4804045E+002, 9.9517917E+002, 0.0000000E+000,-3.5595733E+002,-3.5842742E+001,-2.5094720E+002,-7.1862544E-002, 0.0000000E+000, 0.0000000E+000, 3.5358725E+002, 3.5236004E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.4901668E+002, 1.0008166E+003, 0.0000000E+000,-3.6674994E+002,-3.4775810E+001,-2.5189049E+002,-7.1468864E-002, 0.0000000E+000, 0.0000000E+000, 3.4720068E+002, 3.4732888E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.5003958E+002, 9.9992376E+002, 0.0000000E+000,-3.5119150E+002,-3.6007256E+001,-2.5397441E+002,-7.1171467E-002, 0.0000000E+000, 0.0000000E+000, 3.5903508E+002, 3.5867943E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.5103671E+002, 9.9555556E+002, 0.0000000E+000,-3.7014329E+002,-3.9998675E+001,-2.5404060E+002,-7.1437040E-002, 0.0000000E+000, 0.0000000E+000, 3.3328545E+002, 3.3130157E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.5207365E+002, 1.0023727E+003, 0.0000000E+000,-3.7055401E+002,-4.0348506E+001,-2.5492745E+002,-7.1050979E-002, 0.0000000E+000, 0.0000000E+000, 3.3390806E+002, 3.3647170E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.5306903E+002, 9.9952106E+002, 0.0000000E+000,-3.5192945E+002,-3.9056245E+001,-2.5704338E+002,-7.1183558E-002, 0.0000000E+000, 0.0000000E+000, 3.5243713E+002, 3.5142080E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.5407806E+002, 1.0058771E+003, 0.0000000E+000,-3.7222126E+002,-3.9802957E+001,-2.5826807E+002,-7.1222180E-002, 0.0000000E+000, 0.0000000E+000, 3.3653608E+002, 3.3551362E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.5503725E+002, 9.9633893E+002, 0.0000000E+000,-3.6660988E+002,-4.3528898E+001,-2.5894748E+002,-7.1057539E-002, 0.0000000E+000, 0.0000000E+000, 3.2817162E+002, 3.2718162E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.5605669E+002, 1.0120904E+003, 0.0000000E+000,-3.7510416E+002,-4.3674738E+001,-2.6062304E+002,-7.1703373E-002, 0.0000000E+000, 0.0000000E+000, 3.2960668E+002, 3.3261677E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.5706244E+002, 9.9692675E+002, 0.0000000E+000,-3.4967253E+002,-4.3735174E+001,-2.6290411E+002,-7.1374059E-002, 0.0000000E+000, 0.0000000E+000, 3.4247002E+002, 3.4054356E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.5808119E+002, 1.0042767E+003, 0.0000000E+000,-3.7708536E+002,-4.4037222E+001,-2.6470369E+002,-7.1767489E-002, 0.0000000E+000, 0.0000000E+000, 3.1962325E+002, 3.1837870E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.5903392E+002, 9.9816062E+002, 0.0000000E+000,-3.8272968E+002,-4.2625430E+001,-2.6610265E+002,-7.1607648E-002, 0.0000000E+000, 0.0000000E+000, 3.0691466E+002, 3.0663125E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.6005495E+002, 9.9277655E+002, 0.0000000E+000,-3.6434311E+002,-4.1784286E+001,-2.6874954E+002,-7.1620933E-002, 0.0000000E+000, 0.0000000E+000, 3.1837342E+002, 3.1782800E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
