s,C,1/m
Time,TEMPERATURE_C,EXTINCTION_PER_M
 1.0507409E+002, 3.9388807E+001, 6.4662818E-001
 1.0605489E+002, 3.8504549E+001, 6.3250482E-001
 1.0703570E+002, 3.7582476E+001, 6.1526090E-001
 1.0801651E+002, 3.6918502E+001, 6.0061649E-001
 1.0908649E+002, 3.6264370E+001, 5.8308196E-001
 1.1001380E+002, 3.5877277E+001, 5.7379977E-001
 1.1103522E+002, 3.6052502E+001, 5.8310499E-001
 1.1209557E+002, 3.6771401E+001, 6.0677086E-001
 1.1305952E+002, 3.8270235E+001, 6.5302777E-001
 1.1402233E+002, 3.9630508E+001, 6.9761504E-001
 1.1502096E+002, 3.9719921E+001, 7.0286653E-001
 1.1607279E+002, 3.8860325E+001, 6.7738572E-001
 1.1701186E+002, 3.9030780E+001, 6.7887446E-001
 1.1805266E+002, 4.0290790E+001, 7.1078512E-001
 1.1902270E+002, 4.1876398E+001, 7.5767842E-001
 1.2002522E+002, 4.2640445E+001, 7.8201097E-001
 1.2101881E+002, 4.2287921E+001, 7.7382180E-001
 1.2207629E+002, 4.1492967E+001, 7.5087486E-001
 1.2301665E+002, 4.1573951E+001, 7.4874946E-001
 1.2404435E+002, 4.3319602E+001, 7.9466041E-001
 1.2507206E+002, 4.6878977E+001, 9.1181850E-001
 1.2601412E+002, 4.8237989E+001, 9.6585943E-001
 1.2704373E+002, 4.5299453E+001, 8.7377590E-001
 1.2807709E+002, 4.2382164E+001, 7.8014999E-001
 1.2907738E+002, 4.2264136E+001, 7.7647990E-001
 1.3008676E+002, 4.3189210E+001, 8.0707370E-001
 1.3101695E+002, 4.4246601E+001, 8.4207013E-001
 1.3200709E+002, 4.4972931E+001, 8.6445476E-001
 1.3308725E+002, 4.5436536E+001, 8.7546578E-001
 1.3409540E+002, 4.6106634E+001, 8.9236107E-001
 1.3504568E+002, 4.6724369E+001, 9.0704226E-001
 1.3602519E+002, 4.6951817E+001, 9.1010437E-001
 1.3700469E+002, 4.6353951E+001, 8.9386482E-001
 1.3807325E+002, 4.4892722E+001, 8.5290088E-001
 1.3905276E+002, 4.3024437E+001, 7.9982890E-001
 1.4003227E+002, 4.1911062E+001, 7.6886272E-001
 1.4101178E+002, 4.2141674E+001, 7.7637664E-001
 1.4202174E+002, 4.3375937E+001, 8.1244113E-001
 1.4301135E+002, 4.5149160E+001, 8.6685556E-001
 1.4409148E+002, 4.6859112E+001, 9.2611356E-001
 1.4509375E+002, 4.8119834E+001, 9.7459270E-001
 1.4608350E+002, 4.7447300E+001, 9.5413729E-001
 1.4706198E+002, 4.6539347E+001, 9.2442240E-001
 1.4804045E+002, 4.6314520E+001, 9.1857112E-001
 1.4901667E+002, 4.6527814E+001, 9.2850432E-001
 1.5003959E+002, 4.7184331E+001, 9.5597867E-001
 1.5103672E+002, 4.8588667E+001, 1.0121425E+000
 1.5207365E+002, 4.9679920E+001, 1.0550587E+000
 1.5306903E+002, 4.9664976E+001, 1.0564732E+000
 1.5407806E+002, 4.8766239E+001, 1.0270717E+000
 1.5503725E+002, 4.8106918E+001, 1.0053835E+000
 1.5605669E+002, 4.8031374E+001, 9.9429356E-001
 1.5706244E+002, 4.8136501E+001, 9.8395449E-001
 1.5808119E+002, 4.7656526E+001, 9.5236217E-001
 1.5903392E+002, 4.7488641E+001, 9.3303933E-001
 1.6005495E+002, 4.8258152E+001, 9.5010615E-001
 1.6108448E+002, 4.9566771E+001, 9.9132967E-001
 1.6206092E+002, 5.0031062E+001, 1.0081098E+000
 1.6301947E+002, 4.9685878E+001, 9.9598966E-001
 1.6407558E+002, 4.9340120E+001, 9.8407388E-001
 1.6507856E+002, 4.9414322E+001, 9.9239720E-001
 1.6607899E+002, 4.9845567E+001, 1.0128571E+000
 1.6705292E+002, 5.0513340E+001, 1.0429148E+000
