s,C,1/m
Time,TEMPERATURE_C,EXTINCTION_PER_M
 4.6005962E+002, 6.2576757E+001, 3.0413160E+000
 4.6105393E+002, 6.4681366E+001, 3.1909436E+000
 4.6204825E+002, 6.5634525E+001, 3.2739707E+000
 4.6304256E+002, 6.4886372E+001, 3.2356362E+000
 4.6403664E+002, 6.3576380E+001, 3.1641996E+000
 4.6505895E+002, 6.3180975E+001, 3.1311677E+000
 4.6606422E+002, 6.3342815E+001, 3.1512779E+000
 4.6704346E+002, 6.2798579E+001, 3.1416930E+000
 4.6800250E+002, 6.2339991E+001, 3.1309991E+000
 4.6901157E+002, 6.3410970E+001, 3.2004341E+000
 4.7002064E+002, 6.3830576E+001, 3.2029098E+000
 4.7102972E+002, 6.2632861E+001, 3.1110360E+000
 4.7203879E+002, 6.2479375E+001, 3.0876040E+000
 4.7301381E+002, 6.3500323E+001, 3.1271320E+000
 4.7404277E+002, 6.4508223E+001, 3.1782018E+000
 4.7503520E+002, 6.4240982E+001, 3.1560444E+000
 4.7600128E+002, 6.4086474E+001, 3.1170799E+000
 4.7706397E+002, 6.5638909E+001, 3.1550718E+000
 4.7801786E+002, 6.7950263E+001, 3.2273309E+000
 4.7905890E+002, 6.8538108E+001, 3.2849586E+000
 4.8005927E+002, 6.7875464E+001, 3.3374559E+000
 4.8103887E+002, 6.7178529E+001, 3.3572959E+000
 4.8205221E+002, 6.6512365E+001, 3.3194240E+000
 4.8301768E+002, 6.6284330E+001, 3.2535917E+000
 4.8401826E+002, 6.5593128E+001, 3.1720165E+000
 4.8500130E+002, 6.4248539E+001, 3.1114774E+000
 4.8603301E+002, 6.3516937E+001, 3.0997887E+000
 4.8706471E+002, 6.4074698E+001, 3.1824741E+000
 4.8803516E+002, 6.4314514E+001, 3.2640283E+000
 4.8902967E+002, 6.2905989E+001, 3.2142245E+000
 4.9005316E+002, 6.0957878E+001, 3.0813706E+000
 4.9104646E+002, 6.0093477E+001, 3.0252209E+000
 4.9208491E+002, 6.1290108E+001, 3.0880281E+000
 4.9307820E+002, 6.2800445E+001, 3.1911753E+000
 4.9407150E+002, 6.3129534E+001, 3.2601637E+000
 4.9506480E+002, 6.3432624E+001, 3.3409486E+000
 4.9605810E+002, 6.3531229E+001, 3.3798084E+000
 4.9705140E+002, 6.3757912E+001, 3.4129804E+000
 4.9803814E+002, 6.3808260E+001, 3.4100959E+000
 4.9900135E+002, 6.3607091E+001, 3.3889766E+000
 5.0005213E+002, 6.3258130E+001, 3.3567546E+000
 5.0105912E+002, 6.2774775E+001, 3.3059924E+000
 5.0208308E+002, 6.1964475E+001, 3.2366359E+000
 5.0302172E+002, 6.1467848E+001, 3.1951741E+000
 5.0408237E+002, 6.2128340E+001, 3.2236604E+000
 5.0501162E+002, 6.2939231E+001, 3.2781455E+000
 5.0604412E+002, 6.2935364E+001, 3.3181648E+000
 5.0705901E+002, 6.2734725E+001, 3.3473895E+000
 5.0802342E+002, 6.2769426E+001, 3.3694560E+000
 5.0900011E+002, 6.3256337E+001, 3.3756310E+000
 5.1006097E+002, 6.3415577E+001, 3.3532168E+000
 5.1108519E+002, 6.3943124E+001, 3.3633519E+000
 5.1203160E+002, 6.4900076E+001, 3.4116558E+000
 5.1303972E+002, 6.5834735E+001, 3.4606251E+000
 5.1404009E+002, 6.6175530E+001, 3.4977953E+000
 5.1504666E+002, 6.5699279E+001, 3.4890669E+000
 5.1607882E+002, 6.4440176E+001, 3.4256265E+000
 5.1701715E+002, 6.3857722E+001, 3.3956234E+000
 5.1804931E+002, 6.3686092E+001, 3.4042526E+000
 5.1900640E+002, 6.3331045E+001, 3.4245334E+000
 5.2003856E+002, 6.3590972E+001, 3.4699663E+000
 5.2101904E+002, 6.3838645E+001, 3.5082003E+000
 5.2207191E+002, 6.3947676E+001, 3.5298160E+000
 5.2307004E+002, 6.3752290E+001, 3.5367292E+000
 5.2400559E+002, 6.3499395E+001, 3.5089293E+000
 5.2507525E+002, 6.3592509E+001, 3.4655627E+000
 5.2602487E+002, 6.4476852E+001, 3.4950794E+000
 5.2705656E+002, 6.6161880E+001, 3.6263323E+000
 5.2803609E+002, 6.8069028E+001, 3.7610365E+000
 5.2908665E+002, 6.7951755E+001, 3.7751509E+000
 5.3000081E+002, 6.5978675E+001, 3.6776088E+000
 5.3101683E+002, 6.4695477E+001, 3.6105952E+000
 5.3202820E+002, 6.4522136E+001, 3.5937547E+000
 5.3301597E+002, 6.4902238E+001, 3.6069368E+000
 5.3400373E+002, 6.5587860E+001, 3.6534158E+000
 5.3506333E+002, 6.6162850E+001, 3.6763600E+000
 5.3607694E+002, 6.4970982E+001, 3.6197964E+000
 5.3702976E+002, 6.3329380E+001, 3.5546373E+000
 5.3804321E+002, 6.2758778E+001, 3.5158959E+000
 5.3909131E+002, 6.3164021E+001, 3.4994918E+000
 5.4001553E+002, 6.4376209E+001, 3.5381676E+000
 5.4104454E+002, 6.5772085E+001, 3.5957744E+000
 5.4208211E+002, 6.5855545E+001, 3.6128912E+000
 5.4302537E+002, 6.5384127E+001, 3.6246768E+000
 5.4406294E+002, 6.5291304E+001, 3.6930303E+000
 5.4500619E+002, 6.5184261E+001, 3.7586964E+000
 5.4604377E+002, 6.4919131E+001, 3.7501741E+000
 5.4708455E+002, 6.4894064E+001, 3.7070527E+000
 5.4808785E+002, 6.5076119E+001, 3.6598588E+000
 5.4906389E+002, 6.5236693E+001, 3.6429628E+000
 5.5007069E+002, 6.5625075E+001, 3.6706054E+000
 5.5101505E+002, 6.5903342E+001, 3.7001541E+000
 5.5205385E+002, 6.5802811E+001, 3.7078887E+000
 5.5309264E+002, 6.4714593E+001, 3.6807160E+000
 5.5403700E+002, 6.3267338E+001, 3.6429871E+000
 5.5507580E+002, 6.2837353E+001, 3.6301421E+000
 5.5602016E+002, 6.3987357E+001, 3.6453910E+000
 5.5705896E+002, 6.5043991E+001, 3.6477180E+000
 5.5800332E+002, 6.5412625E+001, 3.6424649E+000
 5.5900434E+002, 6.5029928E+001, 3.6267179E+000
 5.6006285E+002, 6.4821686E+001, 3.6229941E+000
 5.6102451E+002, 6.5142084E+001, 3.6476496E+000
 5.6203802E+002, 6.5763285E+001, 3.6929624E+000
 5.6305361E+002, 6.5860549E+001, 3.7205359E+000
 5.6402330E+002, 6.5232167E+001, 3.7145916E+000
 5.6505983E+002, 6.4179935E+001, 3.7165447E+000
 5.6608786E+002, 6.3937679E+001, 3.7696818E+000
 5.6706722E+002, 6.4121755E+001, 3.8577168E+000
 5.6807191E+002, 6.4346379E+001, 3.9079812E+000
 5.6902637E+002, 6.4073898E+001, 3.9245715E+000
 5.7003943E+002, 6.3354623E+001, 3.9147953E+000
 5.7105250E+002, 6.2519484E+001, 3.8845465E+000
 5.7206556E+002, 6.2403715E+001, 3.8629764E+000
 5.7307862E+002, 6.2926829E+001, 3.8662561E+000
 5.7409168E+002, 6.3557238E+001, 3.8926578E+000
 5.7501265E+002, 6.4058659E+001, 3.9159801E+000
 5.7602571E+002, 6.4241092E+001, 3.9172879E+000
 5.7703878E+002, 6.4001836E+001, 3.9039909E+000
 5.7800579E+002, 6.3827355E+001, 3.8972454E+000
 5.7906632E+002, 6.4672887E+001, 3.9259921E+000
 5.8001721E+002, 6.5880995E+001, 3.9616243E+000
 5.8106161E+002, 6.5897921E+001, 3.9286587E+000
 5.8208403E+002, 6.5913851E+001, 3.8800350E+000
 5.8306387E+002, 6.6192485E+001, 3.8701012E+000
 5.8405106E+002, 6.6051182E+001, 3.8641834E+000
 5.8502062E+002, 6.5378485E+001, 3.8283637E+000
 5.8608714E+002, 6.6106641E+001, 3.8314796E+000
 5.8705670E+002, 6.6982490E+001, 3.8791945E+000
 5.8802626E+002, 6.7263549E+001, 3.9038740E+000
 5.8908298E+002, 6.7008095E+001, 3.9006814E+000
 5.9004170E+002, 6.6499673E+001, 3.8987608E+000
 5.9100042E+002, 6.6692434E+001, 3.9274317E+000
 5.9204630E+002, 6.7775978E+001, 4.0039840E+000
 5.9302294E+002, 6.8198993E+001, 4.0464337E+000
 5.9409181E+002, 6.7922322E+001, 4.0582607E+000
 5.9503243E+002, 6.7337598E+001, 4.0500663E+000
 5.9606710E+002, 6.6546004E+001, 4.0298539E+000
 5.9700771E+002, 6.5243067E+001, 3.9810879E+000
 5.9804239E+002, 6.4387390E+001, 3.9566352E+000
 5.9904871E+002, 6.3628417E+001, 3.9446888E+000
 6.0002705E+002, 6.2476066E+001, 3.8762691E+000
 6.0101354E+002, 6.1890526E+001, 3.8455725E+000
 6.0200004E+002, 6.3451290E+001, 3.9364520E+000
 6.0300367E+002, 6.5610435E+001, 4.1074193E+000
 6.0403329E+002, 6.7400279E+001, 4.2444262E+000
 6.0506292E+002, 6.7574190E+001, 4.2554828E+000
 6.0603248E+002, 6.6904795E+001, 4.1986907E+000
 6.0707068E+002, 6.6868183E+001, 4.1783168E+000
 6.0801450E+002, 6.7316569E+001, 4.2059914E+000
 6.0905271E+002, 6.7250339E+001, 4.2213202E+000
 6.1009091E+002, 6.6763926E+001, 4.1930555E+000
 6.1106410E+002, 6.6758468E+001, 4.1848579E+000
 6.1207925E+002, 6.6543689E+001, 4.1721786E+000
 6.1304364E+002, 6.6169312E+001, 4.1337427E+000
 6.1407091E+002, 6.5641069E+001, 4.0899893E+000
 6.1506278E+002, 6.5203887E+001, 4.0596735E+000
 6.1605465E+002, 6.5572396E+001, 4.0598479E+000
 6.1704652E+002, 6.6055610E+001, 4.0666533E+000
 6.1803839E+002, 6.6013027E+001, 4.0712876E+000
 6.1903026E+002, 6.5181720E+001, 4.0182582E+000
 6.2002213E+002, 6.3693333E+001, 3.9613663E+000
 6.2101400E+002, 6.2303143E+001, 3.9229383E+000
 6.2200587E+002, 6.2121689E+001, 3.9372701E+000
 6.2308790E+002, 6.2856203E+001, 3.9922271E+000
 6.2407977E+002, 6.3218583E+001, 4.0368488E+000
 6.2507164E+002, 6.1788752E+001, 3.9691586E+000
 6.2606351E+002, 6.0027174E+001, 3.8557829E+000
 6.2705538E+002, 5.9275526E+001, 3.8245925E+000
 6.2803823E+002, 6.0236477E+001, 3.8803565E+000
 6.2903010E+002, 6.2139968E+001, 3.9543994E+000
 6.3001182E+002, 6.3514902E+001, 4.0258122E+000
 6.3108022E+002, 6.2547361E+001, 4.0178553E+000
 6.3205959E+002, 6.0170001E+001, 3.9612251E+000
 6.3308348E+002, 5.9544680E+001, 3.9422049E+000
 6.3406285E+002, 6.0485721E+001, 4.0565671E+000
 6.3506662E+002, 6.2272093E+001, 4.2677365E+000
 6.3602219E+002, 6.2140920E+001, 4.2995957E+000
 6.3700775E+002, 6.1476844E+001, 4.2113699E+000
 6.3806563E+002, 6.1972824E+001, 4.1868420E+000
 6.3908966E+002, 6.2665123E+001, 4.1800993E+000
 6.4002060E+002, 6.2819696E+001, 4.1687295E+000
 6.4105384E+002, 6.2364727E+001, 4.1325955E+000
 6.4205912E+002, 6.1217704E+001, 4.0727236E+000
 6.4302252E+002, 6.0482302E+001, 4.0344139E+000
 6.4403618E+002, 6.0915920E+001, 4.0719962E+000
 6.4504984E+002, 6.2522891E+001, 4.1713017E+000
 6.4610036E+002, 6.4268181E+001, 4.2524919E+000
 6.4701266E+002, 6.5122815E+001, 4.2852675E+000
 6.4806612E+002, 6.5676952E+001, 4.2913362E+000
 6.4904570E+002, 6.6015389E+001, 4.2874623E+000
 6.5009652E+002, 6.5789793E+001, 4.2767693E+000
 6.5107610E+002, 6.5142398E+001, 4.2431133E+000
 6.5204226E+002, 6.4824780E+001, 4.2294565E+000
 6.5307124E+002, 6.4997171E+001, 4.2560251E+000
 6.5409829E+002, 6.5108754E+001, 4.2821576E+000
 6.5500650E+002, 6.4960188E+001, 4.2767917E+000
 6.5605789E+002, 6.5026218E+001, 4.2751229E+000
 6.5702165E+002, 6.5352796E+001, 4.2967545E+000
 6.5801171E+002, 6.5960153E+001, 4.3635521E+000
 6.5906583E+002, 6.6896912E+001, 4.4599485E+000
 6.6005643E+002, 6.6246330E+001, 4.4335989E+000
 6.6102901E+002, 6.5540823E+001, 4.3936806E+000
 6.6207317E+002, 6.5917534E+001, 4.4290674E+000
 6.6305137E+002, 6.7266686E+001, 4.5542853E+000
 6.6407847E+002, 6.9300377E+001, 4.6919789E+000
 6.6507142E+002, 6.9836880E+001, 4.7189504E+000
 6.6602598E+002, 6.9100763E+001, 4.6854879E+000
 6.6705907E+002, 6.7522492E+001, 4.5905210E+000
 6.6808368E+002, 6.6836344E+001, 4.4733773E+000
 6.6901515E+002, 6.7430467E+001, 4.4422850E+000
 6.7002669E+002, 6.7979305E+001, 4.4692031E+000
 6.7107616E+002, 6.8362655E+001, 4.5154259E+000
 6.7206467E+002, 6.8620240E+001, 4.5595683E+000
 6.7304258E+002, 6.8813315E+001, 4.5767743E+000
 6.7409139E+002, 6.9005531E+001, 4.5936220E+000
 6.7504608E+002, 6.8607797E+001, 4.5650520E+000
 6.7601574E+002, 6.7040635E+001, 4.4945245E+000
 6.7707640E+002, 6.5047440E+001, 4.4355169E+000
 6.7802968E+002, 6.4244827E+001, 4.4164334E+000
 6.7906962E+002, 6.4482638E+001, 4.4505216E+000
 6.8002289E+002, 6.4814893E+001, 4.4932165E+000
 6.8106283E+002, 6.5377228E+001, 4.5482895E+000
 6.8201611E+002, 6.5836959E+001, 4.5587453E+000
 6.8305604E+002, 6.5887255E+001, 4.5403169E+000
 6.8400932E+002, 6.6234089E+001, 4.5719804E+000
 6.8504059E+002, 6.7227593E+001, 4.6686914E+000
 6.8604443E+002, 6.8280224E+001, 4.7477878E+000
 6.8702043E+002, 6.8405210E+001, 4.7580008E+000
 6.8803743E+002, 6.7054550E+001, 4.6672756E+000
 6.8907549E+002, 6.5665856E+001, 4.5542544E+000
 6.9004365E+002, 6.4965700E+001, 4.5093023E+000
 6.9105690E+002, 6.5126323E+001, 4.5300597E+000
 6.9200459E+002, 6.6252685E+001, 4.5994655E+000
 6.9308961E+002, 6.7183311E+001, 4.6618143E+000
 6.9401947E+002, 6.6906076E+001, 4.6782460E+000
 6.9504231E+002, 6.6654810E+001, 4.6960394E+000
 6.9606516E+002, 6.6942133E+001, 4.7451967E+000
 6.9706940E+002, 6.7145886E+001, 4.7955849E+000
 6.9806820E+002, 6.6500083E+001, 4.7890879E+000
 6.9900344E+002, 6.5396022E+001, 4.7240278E+000
 7.0000224E+002, 6.5432580E+001, 4.7271024E+000
 7.0107560E+002, 6.6727086E+001, 4.8310760E+000
 7.0200584E+002, 6.8149023E+001, 4.9227647E+000
 7.0300677E+002, 6.7718791E+001, 4.8597528E+000
 7.0404796E+002, 6.5901724E+001, 4.7111511E+000
 7.0500239E+002, 6.4391396E+001, 4.5699004E+000
 7.0608697E+002, 6.3504002E+001, 4.4758937E+000
 7.0704611E+002, 6.3521351E+001, 4.4809871E+000
 7.0803234E+002, 6.3578720E+001, 4.5067710E+000
 7.0908795E+002, 6.3964296E+001, 4.5434882E+000
 7.1004037E+002, 6.4774202E+001, 4.6178934E+000
 7.1101192E+002, 6.5683093E+001, 4.7089861E+000
 7.1204500E+002, 6.6172921E+001, 4.7929820E+000
 7.1302464E+002, 6.6213835E+001, 4.8475518E+000
 7.1403055E+002, 6.7155664E+001, 4.8870728E+000
 7.1503693E+002, 6.7396868E+001, 4.8757449E+000
 7.1603493E+002, 6.6772892E+001, 4.8912011E+000
 7.1705038E+002, 6.6536516E+001, 4.9615637E+000
 7.1806583E+002, 6.6584694E+001, 5.0252972E+000
 7.1908129E+002, 6.5630840E+001, 4.9510728E+000
 7.2000442E+002, 6.4906233E+001, 4.8421889E+000
 7.2101988E+002, 6.5146963E+001, 4.7897621E+000
 7.2200764E+002, 6.5742064E+001, 4.7724419E+000
 7.2302309E+002, 6.6439627E+001, 4.7677366E+000
 7.2401779E+002, 6.6917848E+001, 4.7558643E+000
 7.2501249E+002, 6.6850325E+001, 4.7366426E+000
 7.2601624E+002, 6.6269934E+001, 4.7051943E+000
 7.2706477E+002, 6.4706794E+001, 4.6612685E+000
 7.2805105E+002, 6.3534851E+001, 4.6196722E+000
 7.2901971E+002, 6.3398803E+001, 4.6056180E+000
 7.3008523E+002, 6.4123262E+001, 4.6258776E+000
 7.3107327E+002, 6.5066437E+001, 4.6781393E+000
 7.3203224E+002, 6.5738190E+001, 4.7473143E+000
 7.3300697E+002, 6.6220585E+001, 4.8270165E+000
 7.3402774E+002, 6.6235198E+001, 4.8956235E+000
 7.3502667E+002, 6.4828055E+001, 4.8025153E+000
 7.3605098E+002, 6.2995894E+001, 4.6554901E+000
 7.3701400E+002, 6.2656468E+001, 4.6164135E+000
 7.3805582E+002, 6.3056197E+001, 4.6508308E+000
 7.3901884E+002, 6.3890500E+001, 4.7222889E+000
 7.4001168E+002, 6.4883749E+001, 4.7951638E+000
 7.4103582E+002, 6.4981273E+001, 4.8138351E+000
 7.4205868E+002, 6.4413159E+001, 4.8213236E+000
 7.4300483E+002, 6.5067337E+001, 4.8822326E+000
 7.4402221E+002, 6.6119770E+001, 4.9448571E+000
 7.4505907E+002, 6.7145105E+001, 4.9984410E+000
 7.4600819E+002, 6.7689702E+001, 5.0360175E+000
 7.4707854E+002, 6.7536497E+001, 5.0494804E+000
 7.4804361E+002, 6.7467350E+001, 5.0542728E+000
 7.4900868E+002, 6.7508031E+001, 5.0603104E+000
 7.5007026E+002, 6.7429509E+001, 5.0600899E+000
 7.5103533E+002, 6.7748700E+001, 5.0833107E+000
 7.5207679E+002, 6.8365845E+001, 5.1177693E+000
 7.5303030E+002, 6.8251736E+001, 5.1073694E+000
 7.5405609E+002, 6.7863570E+001, 5.0703881E+000
 7.5504862E+002, 6.7936533E+001, 5.0532570E+000
 7.5602757E+002, 6.8586142E+001, 5.0714837E+000
 7.5709551E+002, 6.8831786E+001, 5.1030555E+000
 7.5807446E+002, 6.8544742E+001, 5.1120934E+000
 7.5905340E+002, 6.7817399E+001, 5.0888773E+000
 7.6003235E+002, 6.6887822E+001, 5.0360500E+000
 7.6101130E+002, 6.6422278E+001, 5.0243041E+000
 7.6208814E+002, 6.6113024E+001, 5.0378471E+000
 7.6306709E+002, 6.5531101E+001, 5.0278710E+000
 7.6404603E+002, 6.5463426E+001, 5.0258338E+000
 7.6502498E+002, 6.6445303E+001, 5.0620497E+000
 7.6600393E+002, 6.7532151E+001, 5.0805292E+000
 7.6708077E+002, 6.7262860E+001, 5.0000838E+000
 7.6805972E+002, 6.6332634E+001, 4.9123130E+000
 7.6903866E+002, 6.6691895E+001, 4.9255273E+000
 7.7003719E+002, 6.7457786E+001, 4.9912207E+000
 7.7100635E+002, 6.8081889E+001, 5.0788529E+000
 7.7208930E+002, 6.7915063E+001, 5.1378566E+000
 7.7305328E+002, 6.6703699E+001, 5.1235602E+000
 7.7404663E+002, 6.5598540E+001, 5.0834747E+000
 7.7507365E+002, 6.4805300E+001, 5.0327710E+000
 7.7604695E+002, 6.3928413E+001, 4.9695614E+000
 7.7703470E+002, 6.4505796E+001, 4.9604240E+000
 7.7805100E+002, 6.5633466E+001, 4.9847100E+000
 7.7906730E+002, 6.6084194E+001, 4.9536059E+000
 7.8008360E+002, 6.6985367E+001, 4.9605816E+000
 7.8101676E+002, 6.7645954E+001, 4.9858020E+000
 7.8207797E+002, 6.7605665E+001, 5.0149172E+000
 7.8307112E+002, 6.7072121E+001, 5.0357537E+000
 7.8401912E+002, 6.6252442E+001, 5.0147756E+000
 7.8500827E+002, 6.5263553E+001, 4.9278617E+000
 7.8607607E+002, 6.4529368E+001, 4.8749039E+000
 7.8705488E+002, 6.3430202E+001, 4.8504478E+000
 7.8803369E+002, 6.1455930E+001, 4.7704877E+000
 7.8903683E+002, 6.1026516E+001, 4.7561714E+000
 7.9002363E+002, 6.1593950E+001, 4.8224900E+000
 7.9105345E+002, 6.1743070E+001, 4.8597267E+000
 7.9205084E+002, 6.0594403E+001, 4.8421051E+000
 7.9308148E+002, 5.8899964E+001, 4.8003512E+000
 7.9408718E+002, 5.8668980E+001, 4.7901691E+000
 7.9500145E+002, 5.9468204E+001, 4.8275018E+000
 7.9602789E+002, 6.0954265E+001, 4.8892716E+000
 7.9700764E+002, 6.1979833E+001, 4.9227769E+000
 7.9807647E+002, 6.2517290E+001, 4.9287390E+000
 7.9902933E+002, 6.2561317E+001, 4.9302279E+000
 8.0007070E+002, 6.2380726E+001, 4.9117062E+000
 8.0101832E+002, 6.2269178E+001, 4.8595195E+000
 8.0203878E+002, 6.2527072E+001, 4.8340826E+000
 8.0300357E+002, 6.3141433E+001, 4.8701732E+000
 8.0405818E+002, 6.3591272E+001, 4.9408675E+000
 8.0509520E+002, 6.3827120E+001, 5.0095267E+000
 8.0606192E+002, 6.3563411E+001, 4.9949003E+000
 8.0702865E+002, 6.2967298E+001, 4.9405221E+000
 8.0809204E+002, 6.1898356E+001, 4.8834614E+000
 8.0907692E+002, 6.1136473E+001, 4.8949536E+000
 8.1000070E+002, 6.1825112E+001, 4.9502994E+000
 8.1105697E+002, 6.3259429E+001, 5.0896428E+000
 8.1202193E+002, 6.4390295E+001, 5.2904476E+000
 8.1308338E+002, 6.5338203E+001, 5.4582118E+000
 8.1401490E+002, 6.5769464E+001, 5.5437714E+000
 8.1508068E+002, 6.5121696E+001, 5.5138482E+000
 8.1607726E+002, 6.2031148E+001, 5.2715417E+000
 8.1700970E+002, 5.8981451E+001, 5.0220678E+000
 8.1809149E+002, 5.7525394E+001, 4.8800437E+000
 8.1907494E+002, 5.8778638E+001, 4.9439938E+000
 8.2000921E+002, 6.1352336E+001, 5.1200498E+000
 8.2104290E+002, 6.2970641E+001, 5.1941625E+000
 8.2208022E+002, 6.3435488E+001, 5.2073392E+000
 8.2307916E+002, 6.2779545E+001, 5.1664875E+000
 8.2401534E+002, 6.2642761E+001, 5.1803039E+000
 8.2508937E+002, 6.4094459E+001, 5.3232841E+000
 8.2606800E+002, 6.5478210E+001, 5.3479881E+000
 8.2708355E+002, 6.5732677E+001, 5.2959804E+000
 8.2808764E+002, 6.4881231E+001, 5.2498682E+000
 8.2904269E+002, 6.3941486E+001, 5.2728229E+000
 8.3003377E+002, 6.3994519E+001, 5.2797115E+000
 8.3102486E+002, 6.3902236E+001, 5.2589425E+000
 8.3201594E+002, 6.3891786E+001, 5.2033746E+000
 8.3300703E+002, 6.4167493E+001, 5.1661999E+000
 8.3409722E+002, 6.4560840E+001, 5.1974169E+000
 8.3508831E+002, 6.5014702E+001, 5.2168426E+000
 8.3607939E+002, 6.4870327E+001, 5.2253945E+000
 8.3707048E+002, 6.3781649E+001, 5.1752752E+000
 8.3806156E+002, 6.2747335E+001, 5.1165227E+000
 8.3905264E+002, 6.3678868E+001, 5.1680348E+000
 8.4004373E+002, 6.5061955E+001, 5.2731609E+000
 8.4103481E+002, 6.5099539E+001, 5.3129157E+000
 8.4202590E+002, 6.4823596E+001, 5.3064467E+000
 8.4304672E+002, 6.3958057E+001, 5.2588866E+000
 8.4405847E+002, 6.2222045E+001, 5.1793551E+000
 8.4500126E+002, 6.0871908E+001, 5.1297443E+000
 8.4605338E+002, 6.0114257E+001, 5.1136468E+000
 8.4706375E+002, 6.0167139E+001, 5.1008788E+000
 8.4803739E+002, 6.1167571E+001, 5.1142562E+000
 8.4904776E+002, 6.2480182E+001, 5.1471256E+000
 8.5002440E+002, 6.2558718E+001, 5.1307313E+000
 8.5101212E+002, 6.1974016E+001, 5.1136492E+000
 8.5207884E+002, 6.1424689E+001, 5.1482512E+000
 8.5300818E+002, 6.1396695E+001, 5.2320815E+000
 8.5401502E+002, 6.1770325E+001, 5.3367993E+000
 8.5504745E+002, 6.2435230E+001, 5.3773668E+000
 8.5607989E+002, 6.3424716E+001, 5.3693269E+000
 8.5701846E+002, 6.3549677E+001, 5.3589446E+000
 8.5805090E+002, 6.2965311E+001, 5.3420577E+000
 8.5906456E+002, 6.3299338E+001, 5.3525490E+000
 8.6000003E+002, 6.4864185E+001, 5.4378887E+000
 8.6102690E+002, 6.6458577E+001, 5.5424121E+000
